0.9205,0.2938,0.2566,0.5465,0.5733
0.2171,0.2779,0.0000,0.9457,0.1468
1.0000,0.3017,0.3457,0.5696,0.3447
0.9281,0.1672,0.9727,0.7282,0.6215
0.3880,0.0531,0.5519,0.6304,0.7456
0.3579,0.0662,0.4369,0.6776,0.5567
0.6550,0.2331,0.0000,0.2957,0.4901
0.6507,0.2543,0.0000,0.6301,0.1969
0.8448,0.2515,0.6248,0.7354,0.2051
0.8319,0.1507,0.6715,0.6410,0.4617
0.0000,0.0228,0.0000,0.9068,0.2192
0.5328,0.1411,0.2347,0.7700,0.4728
0.6080,0.0942,0.6619,0.4730,0.7161
0.7941,0.1408,0.6852,0.5818,0.6708
0.6463,0.3504,0.0000,0.6122,0.1133
0.6636,0.4066,0.0000,0.7325,0.0000
0.8492,0.2319,0.7509,0.9166,0.3043
0.8426,0.1573,0.7217,0.3460,0.5666
0.2704,0.1076,0.3120,1.0000,0.4134
0.4423,0.1227,0.6243,0.6009,0.3376
0.6867,0.2179,0.4868,0.4585,0.4949
0.9009,0.2773,0.0000,0.6802,0.0404
0.4115,0.0674,0.3718,0.7154,0.4991
0.9829,0.2245,0.5636,0.4053,0.5263
0.6624,0.5870,0.3164,0.7799,0.0964
0.6518,0.2248,0.0000,0.7230,0.4415
0.3853,0.3136,0.0000,0.7815,0.1833
0.7915,0.2217,0.4085,0.6815,0.3012
0.2797,0.0635,0.3084,0.8049,0.4329
0.8482,0.2568,0.5666,0.0000,0.8733
0.9303,0.1564,1.0000,0.7791,0.5834
0.8209,0.2658,0.6467,0.1213,0.9485
0.4344,0.1625,0.3199,0.7723,0.1994
0.5977,0.5132,0.0000,0.4900,0.2161
0.7006,0.0964,0.6099,0.6375,1.0000
0.9982,1.0000,0.0000,0.8954,0.0731
0.2839,0.0565,0.2983,0.9623,0.4304
0.8118,0.1675,0.5569,0.5834,0.6416
0.7245,0.1888,0.3959,0.2631,0.6195
0.7718,0.2065,0.3258,0.6311,0.3279
0.7100,0.2828,0.0000,0.5023,0.5033
0.9191,0.4722,0.6755,0.7856,0.2438
0.5914,0.0837,0.5785,0.5539,0.7437
0.1085,0.0000,0.1308,0.7904,0.4362
0.0581,0.1630,0.0000,0.9881,0.1013
0.4534,0.1057,0.5896,0.7922,0.5093
0.2338,0.0413,0.3304,0.8540,0.1498
0.9673,0.4762,0.4680,0.9491,0.0008
0.4656,0.0798,0.5042,0.7480,0.5780
0.6658,0.5390,0.0000,0.8325,0.0431
